"Nombre de dominio","Nombre CNAME","Tipo","Valor CNAME"
"dadunex.cl","_a7c67067918a3398300214bd9f97e8c3.dadunex.cl.","CNAME","_2cc107faa0a8fe035a1c64405d982695.jkddzztszm.acm-validations.aws."
"www.dadunex.cl","_cb8565e13482e0306e138594d6d90bff.www.dadunex.cl.","CNAME","_632bab974ca32af8d2d2fc71671b28c2.jkddzztszm.acm-validations.aws."
